Ticker,STS,Number
IBM,STS_1,0.894579557
IBM,STS_2,1.236204119
IBM,STS_3,0.347317615
IBM,STS_4,1.897413327
IBM,STS_5,-0.886792264
IBM,STS_6,0.725481331
IBM,STS_7,0.785112882
IBM,STS_8,1.489790228
IBM,STS_9,1.491911592
IBM,STS_10,0.964106279
IBM,STS_11,0.505153211
IBM,STS_12,0.72575085
IBM,STS_13,0.646992616
IBM,STS_14,-1.023527169
IBM,STS_15,0.665967479
IBM,STS_16,0.338394111
IBM,STS_17,0.2583132
IBM,STS_Mean,0.817746602
XOM,STS_1,-0.602300849
XOM,STS_2,-0.502082726
XOM,STS_3,-1.186397759
XOM,STS_4,-2.816056422
XOM,STS_5,-1.603664285
XOM,STS_6,-0.170238003
XOM,STS_7,-1.129578445
XOM,STS_8,-1.304891087
XOM,STS_9,-1.513502841
XOM,STS_10,-0.702555616
XOM,STS_11,-1.056617539
XOM,STS_12,-0.607386841
XOM,STS_13,-1.758869949
XOM,STS_14,-3.265250983
XOM,STS_15,-1.846482451
XOM,STS_16,-1.267973286
XOM,STS_17,-0.716122699
XOM,STS_Mean,-1.67796717
UNP,STS_1,-3.055587897
UNP,STS_2,-2.490635733
UNP,STS_3,-1.353823447
UNP,STS_4,0.03898038
UNP,STS_5,-0.82707414
UNP,STS_6,-0.030162587
UNP,STS_7,-0.727852036
UNP,STS_8,-2.76939136
UNP,STS_9,-2.632599647
UNP,STS_10,-2.667560866
UNP,STS_11,-2.467792614
UNP,STS_12,-3.880154851
UNP,STS_13,-1.012638289
UNP,STS_14,-0.595178358
UNP,STS_15,-1.311651343
UNP,STS_16,-2.789885166
UNP,STS_17,-3.416493687
UNP,STS_Mean,-2.461515845
DUK,STS_1,-0.071218474
DUK,STS_2,-0.179161851
DUK,STS_3,0.155445274
DUK,STS_4,0.820599061
DUK,STS_5,-1.557792177
DUK,STS_6,0.202924345
DUK,STS_7,0.205768822
DUK,STS_8,0.133931253
DUK,STS_9,0.448130005
DUK,STS_10,-0.259214634
DUK,STS_11,0.647192262
DUK,STS_12,0.043793575
DUK,STS_13,-0.234773037
DUK,STS_14,0.120577913
DUK,STS_15,-0.355433063
DUK,STS_16,0.136505301
DUK,STS_17,1.199185942
DUK,STS_Mean,0.084714251
UNH,STS_1,0.796214494
UNH,STS_2,0.465753057
UNH,STS_3,1.99525077
UNH,STS_4,0.804462166
UNH,STS_5,-0.534915802
UNH,STS_6,-2.703040083
UNH,STS_7,0.267914625
UNH,STS_8,0.594227894
UNH,STS_9,0.241793944
UNH,STS_10,0.947369773
UNH,STS_11,1.914013091
UNH,STS_12,0.028311037
UNH,STS_13,1.103533746
UNH,STS_14,0.147005675
UNH,STS_15,1.113223609
UNH,STS_16,1.602141192
UNH,STS_17,2.220433195
UNH,STS_Mean,0.818770626
JPM,STS_1,-2.061716001
JPM,STS_2,-1.987477709
JPM,STS_3,-0.395174254
JPM,STS_4,-0.739703022
JPM,STS_5,-0.212791131
JPM,STS_6,-1.621359102
JPM,STS_7,-1.381740449
JPM,STS_8,-0.868182604
JPM,STS_9,-1.012068591
JPM,STS_10,-1.232989972
JPM,STS_11,-0.448735275
JPM,STS_12,-1.283997389
JPM,STS_13,-2.060700138
JPM,STS_14,-0.844165853
JPM,STS_15,-2.078450535
JPM,STS_16,-0.51226585
JPM,STS_17,-1.340085786
JPM,STS_Mean,-1.421956925
AMZN,STS_1,1.019198229
AMZN,STS_2,1.627114043
AMZN,STS_3,1.63567077
AMZN,STS_4,1.867604239
AMZN,STS_5,-0.786622496
AMZN,STS_6,2.052914404
AMZN,STS_7,1.492047118
AMZN,STS_8,1.784637108
AMZN,STS_9,1.871627246
AMZN,STS_10,1.46285384
AMZN,STS_11,1.730036891
AMZN,STS_12,1.407897283
AMZN,STS_13,1.18366683
AMZN,STS_14,0.745366804
AMZN,STS_15,1.279150423
AMZN,STS_16,1.112473882
AMZN,STS_17,1.075537117
AMZN,STS_Mean,1.603488564
KO,STS_1,-0.653706449
KO,STS_2,-0.672622243
KO,STS_3,-0.433646607
KO,STS_4,0.350097682
KO,STS_5,-0.85763716
KO,STS_6,-1.36353346
KO,STS_7,-0.488671432
KO,STS_8,-0.106330483
KO,STS_9,-0.163223266
KO,STS_10,-0.324452017
KO,STS_11,-0.463059453
KO,STS_12,0.220181441
KO,STS_13,-0.704430706
KO,STS_14,-0.780760504
KO,STS_15,-0.71190302
KO,STS_16,-0.375498643
KO,STS_17,0.148579884
KO,STS_Mean,-0.54702674
AAPL,STS_1,-1.143132638
AAPL,STS_2,-1.313879196
AAPL,STS_3,-0.321294103
AAPL,STS_4,0.629491129
AAPL,STS_5,-0.883630411
AAPL,STS_6,-1.442097775
AAPL,STS_7,-1.694717258
AAPL,STS_8,-0.016431863
AAPL,STS_9,0.242120172
